Cód.,Município,Salario
2101509,Barão de Grajaú (MA),1418.09
2101608,Barra do Corda (MA),1869.3
2101707,Barreirinhas (MA),1831.21
2101731,Belágua (MA),1849.5
2101772,Bela Vista do Maranhão (MA),1996.57
2101806,Benedito Leite (MA),1627.33
2101905,Bequimão (MA),1467.33
2101939,Bernardo do Mearim (MA),1809.01
2101970,Boa Vista do Gurupi (MA),1498.97
2102002,Bom Jardim (MA),1678.8
2102036,Bom Jesus das Selvas (MA),1663.58
2102077,Bom Lugar (MA),1789.13
2102101,Brejo (MA),1763.92
2102150,Brejo de Areia (MA),1984.74
2102200,Buriti (MA),2483.92
2102309,Buriti Bravo (MA),1747.46
2102325,Buriticupu (MA),1634.06
2102358,Buritirana (MA),2125.58
2102374,Cachoeira Grande (MA),1849
2102408,Cajapió (MA),1627.68
2102507,Cajari (MA),1467.85
2102556,Campestre do Maranhão (MA),1766.18
2102606,Cândido Mendes (MA),1909.04
2102705,Cantanhede (MA),2367.28
2102754,Capinzal do Norte (MA),1941.93
2102804,Carolina (MA),1547.77
2102903,Carutapera (MA),1760.52
2103000,Caxias (MA),1523.62
2103109,Cedral (MA),1727.78
2103125,Central do Maranhão (MA),1745.86
2103158,Centro do Guilherme (MA),1462.55
2103174,Centro Novo do Maranhão (MA),1872.34
2103208,Chapadinha (MA),1898.88
2103257,Cidelândia (MA),2654.22
2103307,Codó (MA),1693.79
2103406,Coelho Neto (MA),1845.73
2103505,Colinas (MA),1516.85
2103554,Conceição do Lago-Açu (MA),1977.21
2103604,Coroatá (MA),1594.82
2103703,Cururupu (MA),1930.57
2103752,Davinópolis (MA),1674.2
2103802,Dom Pedro (MA),1604.1
2103901,Duque Bacelar (MA),1783.45
2104008,Esperantinópolis (MA),1444.87
2104057,Estreito (MA),1946.42
2104073,Feira Nova do Maranhão (MA),1674.68
2104081,Fernando Falcão (MA),1377.65
2104099,Formosa da Serra Negra (MA),2084.08
2104107,Fortaleza dos Nogueiras (MA),1684.78
2104206,Fortuna (MA),2567.02
2104305,Godofredo Viana (MA),3024.69
2104404,Gonçalves Dias (MA),2071.69
2104503,Governador Archer (MA),2175.94
2104552,Governador Edison Lobão (MA),1635.94
2104602,Governador Eugênio Barros (MA),2052.23
2104628,Governador Luiz Rocha (MA),1367.98
2104651,Governador Newton Bello (MA),1796.1
2104677,Governador Nunes Freire (MA),1986.46
2104701,Graça Aranha (MA),1685.19
2104800,Grajaú (MA),1829.32
2104909,Guimarães (MA),1732.32
2105005,Humberto de Campos (MA),1493.44
2105104,Icatu (MA),1803.75
2105153,Igarapé do Meio (MA),1579.95
2105203,Igarapé Grande (MA),1952.51
2105302,Imperatriz (MA),2060.85
2105351,Itaipava do Grajaú (MA),1525.52
2105401,Itapecuru Mirim (MA),1920.92
2105427,Itinga do Maranhão (MA),1780.72
2105450,Jatobá (MA),1790.27
2105476,Jenipapo dos Vieiras (MA),1287.88
2105500,João Lisboa (MA),1549.28
2105609,Joselândia (MA),1593.59
2105658,Junco do Maranhão (MA),1325.5
2105708,Lago da Pedra (MA),1700.28
2105807,Lago do Junco (MA),1688.07
2105906,Lago Verde (MA),1523.87
2105922,Lagoa do Mato (MA),1758.75
2105948,Lago dos Rodrigues (MA),1145.58
2105963,Lagoa Grande do Maranhão (MA),1900.55
2105989,Lajeado Novo (MA),1887.31
2106003,Lima Campos (MA),1874.91
2106102,Loreto (MA),2426.39
2106201,Luís Domingues (MA),1739.91
2106300,Magalhães de Almeida (MA),1654.92
2106326,Maracaçumé (MA),1699.6
2106359,Marajá do Sena (MA),2488.16
2106375,Maranhãozinho (MA),1520.83
2106409,Mata Roma (MA),1536.2
2106508,Matinha (MA),1628.43
2106607,Matões (MA),1691.33
2106631,Matões do Norte (MA),1934.21
2106672,Milagres do Maranhão (MA),1407.09
